 Date,CL1 Close,CL1 Adj. Close
11/12/2019,56.8,56.8
11/11/2019,56.86,56.86
11/10/2019,57.24,57.24
11/8/2019,57.24,57.24
11/7/2019,57.15,57.15
11/6/2019,56.35,56.35
11/5/2019,57.23,57.23
11/4/2019,56.54,56.54
11/3/2019,56.27,56.27
11/1/2019,56.2,56.2
10/31/2019,54.18,54.18
10/30/2019,55.06,55.06
10/29/2019,55.54,55.54
10/28/2019,55.81,55.81
10/27/2019,56.81,56.81
10/25/2019,56.66,56.66
10/24/2019,56.23,56.23
10/23/2019,55.97,55.97
10/22/2019,54.16,54.16
10/21/2019,53.31,53.31
10/20/2019,53.7,53.7
10/18/2019,53.79,53.79
10/17/2019,53.93,53.93
10/16/2019,53.36,53.36
10/15/2019,52.81,52.81
10/14/2019,53.59,53.59
10/13/2019,54.92,54.92
10/11/2019,54.7,54.7
10/10/2019,53.55,53.55
10/9/2019,52.59,52.59
10/8/2019,52.63,52.63
10/7/2019,52.75,52.75
10/6/2019,52.78,52.78
10/4/2019,52.81,52.81
10/3/2019,52.45,52.45
10/2/2019,52.64,52.64
10/1/2019,53.62,53.62
9/30/2019,54.07,54.07
9/29/2019,56.13,56.13
9/27/2019,55.91,55.91
9/26/2019,56.41,56.41
9/25/2019,56.49,56.49
9/24/2019,57.29,57.29
9/23/2019,58.64,58.64
9/22/2019,58.86,58.86
9/20/2019,58.09,58.09
9/19/2019,58.13,58.13
9/18/2019,58.11,58.11
9/17/2019,59.34,59.34
9/16/2019,62.9,62.9
9/15/2019,61.13,61.13
9/13/2019,54.85,54.85
9/12/2019,55.09,55.09
9/11/2019,55.75,55.75
9/10/2019,57.4,57.4
9/9/2019,57.85,57.85
9/8/2019,56.97,56.97
9/6/2019,56.52,56.52
9/5/2019,56.3,56.3
9/4/2019,56.26,56.26
9/3/2019,53.94,53.94
9/2/2019,54.63,54.63
9/1/2019,54.94,54.94
8/30/2019,55.1,55.1
8/29/2019,56.71,56.71
8/28/2019,55.78,55.78
8/27/2019,54.93,54.93
8/26/2019,53.64,53.64
8/25/2019,53.16,53.16
8/23/2019,54.17,54.17
8/22/2019,55.35,55.35
8/21/2019,55.68,55.68
8/20/2019,56.34,56.34
8/19/2019,56.21,56.21
8/18/2019,55.3,55.3
8/16/2019,54.87,54.87
8/15/2019,54.47,54.47
8/14/2019,55.23,55.23
8/13/2019,57.1,57.1
8/12/2019,54.93,54.93
8/11/2019,54.35,54.35
8/9/2019,54.5,54.5
8/8/2019,52.54,52.54
8/7/2019,51.09,51.09
8/6/2019,53.63,53.63
8/5/2019,54.69,54.69
8/4/2019,55.4,55.4
8/2/2019,55.66,55.66
8/1/2019,53.95,53.95
7/31/2019,58.58,58.58
7/30/2019,58.05,58.05
7/29/2019,56.87,56.87
7/28/2019,56.08,56.08
7/26/2019,56.2,56.2
7/25/2019,56.02,56.02
7/24/2019,55.88,55.88
7/23/2019,56.77,56.77
7/22/2019,56.22,56.22
7/21/2019,56.21,56.21
7/19/2019,55.63,55.63
7/18/2019,55.3,55.3
7/17/2019,56.78,56.78
7/16/2019,57.62,57.62
7/15/2019,59.58,59.58
7/14/2019,60.26,60.26
7/12/2019,60.21,60.21
7/11/2019,60.2,60.2
7/10/2019,60.43,60.43
7/9/2019,57.83,57.83
7/8/2019,57.66,57.66
7/7/2019,57.81,57.81
7/5/2019,57.51,57.51
7/4/2019,56.94,56.94
7/3/2019,57.34,57.34
7/2/2019,56.25,56.25
7/1/2019,59.09,59.09
6/30/2019,59.46,59.46
6/28/2019,58.47,58.47
6/27/2019,59.43,59.43
6/26/2019,59.38,59.38
6/25/2019,57.83,57.83
6/24/2019,57.9,57.9
6/23/2019,57.9,57.9
6/21/2019,57.43,57.43
6/20/2019,56.65,56.65
6/19/2019,53.76,53.76
6/18/2019,53.9,53.9
6/17/2019,51.93,51.93
6/16/2019,52.7,52.7
6/14/2019,52.51,52.51
6/13/2019,52.28,52.28
6/12/2019,51.14,51.14
6/11/2019,53.27,53.27
6/10/2019,53.26,53.26
6/7/2019,53.99,53.99
6/6/2019,52.59,52.59
6/5/2019,51.68,51.68
6/4/2019,53.48,53.48
6/3/2019,53.25,53.25
6/2/2019,52.72,52.72
5/31/2019,53.5,53.5
5/30/2019,56.59,56.59
5/29/2019,58.81,58.81
5/28/2019,59.14,59.14
5/27/2019,59.2,59.2
5/26/2019,58.94,58.94
5/24/2019,58.63,58.63
5/23/2019,57.91,57.91
5/22/2019,61.42,61.42
5/21/2019,62.99,62.99
5/20/2019,63.1,63.1
5/19/2019,63.44,63.44
5/17/2019,62.76,62.76
5/16/2019,62.87,62.87
5/15/2019,62.02,62.02
5/14/2019,61.78,61.78
5/13/2019,61.04,61.04
5/12/2019,61.45,61.45
5/10/2019,61.66,61.66
5/9/2019,61.7,61.7
5/8/2019,62.12,62.12
5/7/2019,61.4,61.4
5/6/2019,62.25,62.25
5/5/2019,60.73,60.73
5/3/2019,61.94,61.94
5/2/2019,61.81,61.81
5/1/2019,63.6,63.6
4/30/2019,63.91,63.91
4/29/2019,63.5,63.5
4/28/2019,62.91,62.91
4/26/2019,63.3,63.3
4/25/2019,65.21,65.21
4/24/2019,65.89,65.89
4/23/2019,66.3,66.3
4/22/2019,65.7,65.7
4/21/2019,64.51,64.51
4/18/2019,64,64
4/17/2019,63.76,63.76
4/16/2019,64.05,64.05
4/15/2019,63.4,63.4
4/14/2019,63.69,63.69
4/12/2019,63.89,63.89
4/11/2019,63.58,63.58
4/10/2019,64.61,64.61
4/9/2019,63.98,63.98
4/8/2019,64.4,64.4
4/7/2019,63.55,63.55
4/5/2019,63.08,63.08
4/4/2019,62.1,62.1
4/3/2019,62.46,62.46
4/2/2019,62.58,62.58
4/1/2019,61.59,61.59
3/31/2019,60.46,60.46
3/29/2019,60.14,60.14
3/28/2019,59.3,59.3
3/27/2019,59.41,59.41
3/26/2019,59.94,59.94
3/25/2019,58.82,58.82
3/24/2019,58.9,58.9
3/22/2019,59.04,59.04
3/21/2019,59.98,59.98
3/20/2019,59.83,59.83
3/19/2019,59.03,59.03
3/18/2019,59.09,59.09
3/17/2019,58.46,58.46
3/15/2019,58.52,58.52
3/14/2019,58.61,58.61
3/13/2019,58.26,58.26
3/12/2019,56.87,56.87
3/11/2019,56.79,56.79
3/10/2019,56.17,56.17
3/8/2019,56.07,56.07
3/7/2019,56.66,56.66
3/6/2019,56.22,56.22
3/5/2019,56.56,56.56
3/4/2019,56.59,56.59
3/3/2019,56.2,56.2
3/1/2019,55.8,55.8
2/28/2019,57.22,57.22
2/27/2019,56.94,56.94
2/26/2019,55.5,55.5
2/25/2019,55.48,55.48
2/24/2019,57.41,57.41
2/22/2019,57.26,57.26
2/21/2019,56.96,56.96
2/20/2019,56.92,56.92
2/19/2019,56.09,56.09
2/18/2019,55.91,55.91
2/17/2019,56,56
2/15/2019,55.59,55.59
2/14/2019,54.41,54.41
2/13/2019,53.9,53.9
2/12/2019,53.1,53.1
2/11/2019,52.41,52.41
2/10/2019,52.56,52.56
2/8/2019,52.72,52.72
2/7/2019,52.64,52.64
2/6/2019,54.01,54.01
2/5/2019,53.66,53.66
2/4/2019,54.56,54.56
2/3/2019,55.21,55.21
2/1/2019,55.26,55.26
1/31/2019,53.79,53.79
1/30/2019,54.23,54.23
1/29/2019,53.31,53.31
1/28/2019,51.99,51.99
1/27/2019,53.45,53.45
1/25/2019,53.69,53.69
1/24/2019,53.13,53.13
1/23/2019,52.62,52.62
1/22/2019,52.57,52.57
1/21/2019,53.95,53.95
1/20/2019,53.52,53.52
1/18/2019,53.8,53.8
1/17/2019,52.07,52.07
1/16/2019,52.31,52.31
1/15/2019,52.11,52.11
1/14/2019,50.51,50.51
1/13/2019,52,52
1/11/2019,51.71,51.71
1/10/2019,52.59,52.59
1/9/2019,52.36,52.36
1/8/2019,49.78,49.78
1/7/2019,48.52,48.52
1/4/2019,47.96,47.96
1/3/2019,47.09,47.09
1/2/2019,46.54,46.54
1/1/2019,45.89,45.89
12/31/2018,45.81,45.81
12/30/2018,45.53,45.53
12/28/2018,45.33,45.33
12/27/2018,44.61,44.61
12/26/2018,46.22,46.22
12/25/2018,43.16,43.16
12/24/2018,42.53,42.53
12/23/2018,45.72,45.72
12/21/2018,45.38,45.38
12/20/2018,45.88,45.88
12/19/2018,47.2,47.2
12/18/2018,46.24,46.24
12/17/2018,49.88,49.88
12/14/2018,51.2,51.2
12/13/2018,52.58,52.58
12/12/2018,51.15,51.15
12/11/2018,51.65,51.65
12/10/2018,51,51
12/9/2018,52.63,52.63
12/8/2018,52.34,52.34
12/7/2018,52.61,52.61
12/6/2018,51.49,51.49
12/5/2018,52.89,52.89
12/4/2018,53.25,53.25
12/3/2018,52.95,52.95
12/2/2018,52.34,52.34
12/1/2018,50.85,50.85
11/30/2018,50.93,50.93
11/29/2018,51.45,51.45
11/28/2018,50.29,50.29
11/27/2018,51.56,51.56
11/26/2018,51.63,51.63
11/25/2018,50.46,50.46
11/23/2018,50.42,50.42
11/22/2018,53.97,53.97
11/21/2018,54.63,54.63
11/20/2018,53.43,53.43
11/19/2018,56.76,56.76
11/18/2018,57.06,57.06
11/16/2018,56.46,56.46
11/15/2018,56.46,56.46
11/14/2018,56.25,56.25
11/13/2018,55.69,55.69
11/12/2018,59.93,59.93
11/9/2018,60.19,60.19
11/8/2018,60.67,60.67
11/7/2018,61.67,61.67
11/6/2018,62.21,62.21
11/5/2018,63.1,63.1
11/4/2018,63.01,63.01
11/2/2018,63.14,63.14
11/1/2018,63.69,63.69
10/31/2018,65.31,65.31
10/30/2018,66.18,66.18
10/29/2018,67.04,67.04
10/28/2018,67.71,67.71
10/26/2018,67.59,67.59
10/25/2018,67.33,67.33
10/24/2018,66.82,66.82
10/23/2018,66.43,66.43
10/22/2018,69.17,69.17
10/21/2018,69.32,69.32
10/20/2018,69.37,69.37
10/19/2018,69.12,69.12
10/18/2018,68.65,68.65
10/17/2018,69.75,69.75
10/16/2018,71.92,71.92
10/15/2018,71.78,71.78
10/14/2018,72.35,72.35
10/12/2018,71.34,71.34
10/11/2018,70.97,70.97
10/10/2018,73.17,73.17
10/9/2018,74.96,74.96
10/8/2018,74.29,74.29
10/5/2018,74.34,74.34
10/4/2018,74.33,74.33
10/3/2018,76.41,76.41
10/2/2018,75.23,75.23
10/1/2018,75.3,75.3
9/30/2018,73.6,73.6
9/28/2018,73.25,73.25
9/27/2018,72.12,72.12
9/26/2018,71.57,71.57
9/25/2018,72.28,72.28
9/24/2018,72.08,72.08
9/23/2018,71.65,71.65
9/21/2018,70.78,70.78
9/20/2018,70.8,70.8
9/19/2018,71.12,71.12
9/18/2018,69.85,69.85
9/17/2018,68.91,68.91
9/16/2018,68.9,68.9
9/14/2018,68.99,68.99
9/13/2018,68.59,68.59
9/12/2018,70.37,70.37
9/11/2018,69.25,69.25
9/10/2018,67.54,67.54
9/9/2018,68.24,68.24
9/7/2018,67.75,67.75
9/6/2018,67.77,67.77
9/5/2018,68.72,68.72
9/4/2018,69.87,69.87
9/3/2018,69.95,69.95
9/2/2018,69.98,69.98
9/1/2018,69.88,69.88
8/31/2018,70,70
8/30/2018,69.93,69.93
8/29/2018,69.51,69.51
8/28/2018,68.53,68.53
8/27/2018,68.87,68.87
8/26/2018,68.73,68.73
8/24/2018,68.72,68.72
8/23/2018,67.83,67.83
8/22/2018,67.86,67.86
8/21/2018,67.35,67.35
8/20/2018,66.43,66.43
8/19/2018,65.84,65.84
8/18/2018,65.92,65.92
8/17/2018,65.91,65.91
8/16/2018,65.46,65.46
8/15/2018,65.01,65.01
8/14/2018,67.04,67.04
8/13/2018,67.2,67.2
8/10/2018,67.63,67.63
8/9/2018,66.81,66.81
8/8/2018,66.94,66.94
8/7/2018,69.17,69.17
8/6/2018,69.01,69.01
8/3/2018,68.49,68.49
8/2/2018,68.96,68.96
8/1/2018,67.66,67.66
7/31/2018,68.76,68.76
7/30/2018,70.13,70.13
7/29/2018,69.06,69.06
7/27/2018,68.69,68.69
7/26/2018,69.61,69.61
7/25/2018,69.3,69.3
7/24/2018,68.52,68.52
7/23/2018,67.89,67.89
7/20/2018,70.46,70.46
7/19/2018,69.46,69.46
7/18/2018,68.76,68.76
7/17/2018,68.08,68.08
7/16/2018,68.06,68.06
7/15/2018,70.83,70.83
7/13/2018,71.01,71.01
7/12/2018,70.33,70.33
7/11/2018,70.38,70.38
7/10/2018,74.11,74.11
7/9/2018,73.85,73.85
7/8/2018,73.99,73.99
7/6/2018,73.8,73.8
7/5/2018,72.94,72.94
7/4/2018,74.22,74.22
7/3/2018,74.14,74.14
7/2/2018,73.94,73.94
7/1/2018,73.61,73.61
6/29/2018,74.15,74.15
6/28/2018,73.45,73.45
6/27/2018,72.76,72.76
6/26/2018,70.53,70.53
6/25/2018,68.08,68.08
6/22/2018,68.58,68.58
6/21/2018,65.54,65.54
6/20/2018,66.22,66.22
6/19/2018,65.07,65.07
6/18/2018,65.85,65.85
6/17/2018,64.52,64.52
6/15/2018,65.06,65.06
6/14/2018,66.89,66.89
6/13/2018,66.64,66.64
6/12/2018,66.36,66.36
6/11/2018,66.1,66.1
6/8/2018,65.74,65.74
6/7/2018,65.95,65.95
6/6/2018,64.73,64.73
6/5/2018,65.52,65.52
6/4/2018,64.75,64.75
6/3/2018,65.77,65.77
6/1/2018,65.81,65.81
5/31/2018,67.04,67.04
5/30/2018,68.21,68.21
5/29/2018,66.73,66.73
5/28/2018,67.18,67.18
5/25/2018,67.88,67.88
5/24/2018,70.71,70.71
5/23/2018,71.84,71.84
5/22/2018,72.13,72.13
5/21/2018,72.24,72.24
5/20/2018,71.77,71.77
5/19/2018,71.35,71.35
5/18/2018,71.28,71.28
5/17/2018,71.49,71.49
5/16/2018,71.49,71.49
5/15/2018,71.31,71.31
5/14/2018,70.96,70.96
5/13/2018,70.77,70.77
5/11/2018,70.7,70.7
5/10/2018,71.36,71.36
5/9/2018,71.14,71.14
5/8/2018,69.06,69.06
5/7/2018,70.73,70.73
5/6/2018,69.96,69.96
5/4/2018,69.72,69.72
5/3/2018,68.43,68.43
5/2/2018,67.93,67.93
5/1/2018,67.25,67.25
4/30/2018,68.57,68.57
4/29/2018,68.08,68.08
4/27/2018,68.11,68.11
4/26/2018,68.19,68.19
4/25/2018,68.05,68.05
4/24/2018,67.7,67.7
4/23/2018,68.64,68.64
4/22/2018,68.37,68.37
4/21/2018,68.26,68.26
4/20/2018,68.38,68.38
4/19/2018,68.29,68.29
4/18/2018,68.47,68.47
4/17/2018,66.52,66.52
4/16/2018,66.22,66.22
4/15/2018,67.24,67.24
4/13/2018,67.39,67.39
4/12/2018,67.07,67.07
4/11/2018,66.82,66.82
4/10/2018,65.51,65.51
4/9/2018,63.42,63.42
4/8/2018,62.28,62.28
4/7/2018,61.95,61.95
4/6/2018,62.06,62.06
4/5/2018,63.54,63.54
4/4/2018,63.37,63.37
4/3/2018,63.51,63.51
4/2/2018,63.01,63.01
4/1/2018,65.19,65.19
3/29/2018,64.94,64.94
3/28/2018,64.38,64.38
3/27/2018,65.25,65.25
3/26/2018,65.55,65.55
3/25/2018,66.56,66.56
3/23/2018,65.88,65.88
3/22/2018,64.3,64.3
3/21/2018,65.17,65.17
3/20/2018,63.4,63.4
3/19/2018,62.06,62.06
3/18/2018,62.22,62.22
3/17/2018,62.25,62.25
3/16/2018,62.34,62.34
3/15/2018,61.19,61.19
3/14/2018,60.96,60.96
3/13/2018,60.71,60.71
3/12/2018,61.36,61.36
3/11/2018,62.27,62.27
3/10/2018,62.12,62.12
3/9/2018,62.04,62.04
3/8/2018,60.12,60.12
3/7/2018,61.15,61.15
3/6/2018,62.6,62.6
3/5/2018,62.57,62.57
3/4/2018,61.68,61.68
3/2/2018,61.25,61.25
3/1/2018,60.99,60.99
2/28/2018,61.64,61.64
2/27/2018,63.01,63.01
2/26/2018,63.91,63.91
2/25/2018,63.63,63.63
2/23/2018,63.55,63.55
2/22/2018,62.77,62.77
2/21/2018,61.68,61.68
2/20/2018,61.9,61.9
2/19/2018,61.68,61.68
2/18/2018,61.72,61.72
2/17/2018,61.61,61.61
2/16/2018,61.68,61.68
2/15/2018,61.34,61.34
2/14/2018,60.6,60.6
2/13/2018,59.19,59.19
2/12/2018,59.29,59.29
2/11/2018,59.44,59.44
2/9/2018,59.2,59.2
2/8/2018,61.15,61.15
2/7/2018,61.79,61.79
2/6/2018,63.39,63.39
2/5/2018,64.15,64.15
2/4/2018,64.63,64.63
2/3/2018,64.68,64.68
2/2/2018,65.45,65.45
2/1/2018,65.8,65.8
1/31/2018,64.73,64.73
1/30/2018,64.5,64.5
1/29/2018,65.56,65.56
1/28/2018,66.25,66.25
1/26/2018,66.14,66.14
1/25/2018,65.51,65.51
1/24/2018,65.61,65.61
1/23/2018,64.47,64.47
1/22/2018,63.49,63.49
1/21/2018,63.48,63.48
1/20/2018,63.57,63.57
1/19/2018,63.37,63.37
1/18/2018,63.95,63.95
1/17/2018,63.97,63.97
1/16/2018,63.73,63.73
1/15/2018,64.76,64.76
1/14/2018,64.44,64.44
1/12/2018,64.3,64.3
1/11/2018,63.8,63.8
1/10/2018,63.57,63.57
1/9/2018,62.96,62.96
1/8/2018,61.73,61.73
1/7/2018,61.71,61.71
1/5/2018,61.44,61.44
1/4/2018,62.01,62.01
1/3/2018,61.63,61.63
1/2/2018,60.37,60.37
1/1/2018,60.26,60.26
12/29/2017,60.42,60.42
12/28/2017,59.84,59.84
12/27/2017,59.64,59.64
12/26/2017,59.97,59.97
12/22/2017,58.47,58.47
12/21/2017,58.36,58.36
12/20/2017,58.09,58.09
12/19/2017,57.46,57.46
12/18/2017,57.16,57.16
12/17/2017,57.42,57.42
12/15/2017,57.3,57.3
12/14/2017,57.04,57.04
12/13/2017,56.6,56.6
12/12/2017,57.14,57.14
12/11/2017,57.99,57.99
12/10/2017,57.17,57.17
12/9/2017,57.34,57.34
12/8/2017,57.36,57.36
12/7/2017,56.69,56.69
12/6/2017,55.96,55.96
12/5/2017,57.62,57.62
12/4/2017,57.47,57.47
12/3/2017,58.21,58.21
12/2/2017,58.29,58.29
12/1/2017,58.36,58.36
11/30/2017,57.4,57.4
11/29/2017,57.3,57.3
11/28/2017,57.99,57.99
11/27/2017,58.11,58.11
11/26/2017,58.74,58.74
11/24/2017,58.95,58.95
11/23/2017,58.42,58.42
11/22/2017,58.02,58.02
11/21/2017,56.83,56.83
11/20/2017,56.09,56.09
11/19/2017,56.57,56.57
11/18/2017,56.68,56.68
11/17/2017,56.55,56.55
11/16/2017,55.14,55.14
11/15/2017,55.33,55.33
11/14/2017,55.7,55.7
11/13/2017,56.76,56.76
11/12/2017,56.84,56.84
11/10/2017,56.74,56.74
11/9/2017,57.17,57.17
11/8/2017,56.81,56.81
11/7/2017,57.2,57.2
11/6/2017,57.35,57.35
11/3/2017,55.64,55.64
11/2/2017,54.54,54.54
11/1/2017,54.3,54.3
10/31/2017,54.38,54.38
10/30/2017,54.15,54.15
10/29/2017,53.94,53.94
10/27/2017,53.9,53.9
10/26/2017,52.64,52.64
10/25/2017,52.18,52.18
10/24/2017,52.47,52.47
10/23/2017,51.9,51.9
10/22/2017,52.01,52.01
10/20/2017,51.47,51.47
10/19/2017,51.29,51.29
10/18/2017,52.04,52.04
10/17/2017,51.88,51.88
10/16/2017,51.87,51.87
10/13/2017,51.45,51.45
10/12/2017,50.6,50.6
10/11/2017,51.3,51.3
10/10/2017,50.92,50.92
10/9/2017,49.58,49.58
10/8/2017,49.3,49.3
10/6/2017,49.29,49.29
10/5/2017,50.79,50.79
10/4/2017,49.98,49.98
10/3/2017,50.42,50.42
10/2/2017,50.58,50.58
10/1/2017,51.62,51.62
9/29/2017,51.67,51.67
9/28/2017,51.56,51.56
9/27/2017,52.14,52.14
9/26/2017,51.88,51.88
9/25/2017,52.22,52.22
9/24/2017,50.55,50.55
9/22/2017,50.66,50.66
9/21/2017,50.55,50.55
9/20/2017,50.41,50.41
9/19/2017,49.48,49.48
9/18/2017,49.91,49.91
9/17/2017,49.7,49.7
9/16/2017,49.83,49.83
9/15/2017,49.89,49.89
9/14/2017,49.89,49.89
9/13/2017,49.3,49.3
9/12/2017,48.23,48.23
9/11/2017,48.07,48.07
9/10/2017,47.59,47.59
9/9/2017,47.56,47.56
9/8/2017,47.48,47.48
9/7/2017,49.09,49.09
9/6/2017,49.16,49.16
9/5/2017,48.66,48.66
9/4/2017,47.51,47.51
9/3/2017,47.3,47.3
9/2/2017,47.35,47.35
9/1/2017,47.29,47.29
8/31/2017,47.23,47.23
8/30/2017,45.96,45.96
8/29/2017,46.44,46.44
8/28/2017,46.57,46.57
8/27/2017,47.77,47.77
8/25/2017,47.87,47.87
8/24/2017,47.43,47.43
8/23/2017,48.41,48.41
8/22/2017,47.64,47.64
8/21/2017,47.37,47.37
8/20/2017,48.53,48.53
8/19/2017,48.73,48.73
8/18/2017,48.51,48.51
8/17/2017,47.09,47.09
8/16/2017,46.78,46.78
8/15/2017,47.55,47.55
8/14/2017,47.59,47.59
8/13/2017,48.71,48.71
8/11/2017,48.82,48.82
8/10/2017,48.59,48.59
8/9/2017,49.56,49.56
8/8/2017,49.17,49.17
8/7/2017,49.39,49.39
8/6/2017,49.44,49.44
8/4/2017,49.58,49.58
8/3/2017,49.03,49.03
8/2/2017,49.59,49.59
8/1/2017,49.16,49.16
7/31/2017,50.17,50.17
7/30/2017,49.93,49.93
7/28/2017,49.71,49.71
7/27/2017,49.04,49.04
7/26/2017,48.75,48.75
7/25/2017,47.89,47.89
7/24/2017,46.34,46.34
7/23/2017,45.66,45.66
7/22/2017,45.6,45.6
7/21/2017,45.77,45.77
7/20/2017,46.79,46.79
7/19/2017,47.12,47.12
7/18/2017,46.4,46.4
7/17/2017,46.02,46.02
7/16/2017,46.54,46.54
7/14/2017,46.54,46.54
7/13/2017,46.08,46.08
7/12/2017,45.49,45.49
7/11/2017,45.04,45.04
7/10/2017,44.4,44.4
7/9/2017,44.49,44.49
7/7/2017,44.23,44.23
7/6/2017,45.52,45.52
7/5/2017,45.13,45.13
7/4/2017,46.02,46.02
7/3/2017,47.07,47.07
6/30/2017,46.04,46.04
6/29/2017,44.93,44.93
6/28/2017,44.74,44.74
6/27/2017,44.24,44.24
6/26/2017,43.38,43.38
6/23/2017,43.01,43.01
6/22/2017,42.74,42.74
6/21/2017,42.53,42.53
6/20/2017,43.23,43.23
6/19/2017,44.2,44.2
6/18/2017,44.58,44.58
6/17/2017,44.68,44.68
6/16/2017,44.74,44.74
6/15/2017,44.46,44.46
6/14/2017,44.73,44.73
6/13/2017,46.46,46.46
6/12/2017,46.08,46.08
6/11/2017,46.04,46.04
6/9/2017,45.83,45.83
6/8/2017,45.64,45.64
6/7/2017,45.72,45.72
6/6/2017,48.19,48.19
6/5/2017,47.4,47.4
6/4/2017,47.61,47.61
6/2/2017,47.66,47.66
6/1/2017,48.36,48.36
5/31/2017,48.32,48.32
5/30/2017,49.66,49.66
5/29/2017,50.19,50.19
5/28/2017,49.94,49.94
5/26/2017,49.8,49.8
5/25/2017,48.9,48.9
5/24/2017,51.36,51.36
5/23/2017,51.47,51.47
5/22/2017,50.73,50.73
5/20/2017,50.53,50.53
5/19/2017,50.33,50.33
5/18/2017,49.35,49.35
5/17/2017,49.07,49.07
5/16/2017,48.66,48.66
5/15/2017,48.85,48.85
5/14/2017,47.69,47.69
5/12/2017,47.84,47.84
5/11/2017,47.83,47.83
5/10/2017,47.33,47.33
5/9/2017,45.88,45.88
5/8/2017,46.43,46.43
5/5/2017,46.22,46.22
5/4/2017,45.52,45.52
5/3/2017,47.82,47.82
5/2/2017,47.66,47.66
