date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2004-05-01,1241.0,55.0,4.637,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2004
2004-06-01,1180.0,-61.0,-4.915,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2004
2004-07-01,1088.0,-92.0,-7.797,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2004
2004-08-01,1175.0,87.0,7.996,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2004
2004-09-01,1214.0,39.0,3.319,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2004
2004-10-01,1305.0,91.0,7.496,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,10-2004
2004-11-01,1179.0,-126.0,-9.655,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,11-2004
2004-12-01,1242.0,63.0,5.344,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,12-2004
2005-01-01,1203.0,-39.0,-3.14,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,01-2005
2005-02-01,1319.0,116.0,9.643,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,02-2005
2005-03-01,1328.0,9.0,0.682,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,03-2005
2005-04-01,1260.0,-68.0,-5.12,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,04-2005
2005-05-01,1286.0,26.0,2.063,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2005
2005-06-01,1274.0,-12.0,-0.933,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2005
2005-07-01,1389.0,115.0,9.027,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2005
2005-08-01,1255.0,-134.0,-9.647,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2005
2005-09-01,1244.0,-11.0,-0.876,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2005
2005-10-01,1336.0,92.0,7.395,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,10-2005
2005-11-01,1214.0,-122.0,-9.132,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,11-2005
2005-12-01,1239.0,25.0,2.059,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,12-2005
