date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
07/2005,21.129,2.646,14.316,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
08/2005,17.419,-3.71,-17.559,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
09/2005,16.928,-0.491,-2.819,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
10/2005,15.336,-1.592,-9.405,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
11/2005,16.524,1.188,7.746,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
12/2005,17.174,0.65,3.934,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
01/2006,18.081,0.907,5.281,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
02/2006,17.072,-1.009,-5.58,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
03/2006,16.959,-0.113,-0.662,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
04/2006,17.129,0.17,1.002,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
