date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2002-10-01,169134.0,2296.0,1.376,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,10-2002
2002-11-01,170023.0,889.0,0.526,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,11-2002
2002-12-01,163962.0,-6061.0,-3.565,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,12-2002
2003-01-01,169994.0,6032.0,3.679,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,01-2003
2003-02-01,174113.0,4119.0,2.423,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,02-2003
2003-03-01,172245.0,-1868.0,-1.073,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,03-2003
2003-04-01,169347.0,-2898.0,-1.682,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,04-2003
2003-05-01,171542.0,2195.0,1.296,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,05-2003
2003-06-01,173507.0,1965.0,1.145,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,06-2003
2003-07-01,173320.0,-187.0,-0.108,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,07-2003
2003-08-01,173044.0,-276.0,-0.159,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,08-2003
2003-09-01,178690.0,5646.0,3.263,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,09-2003
2003-10-01,183704.0,5014.0,2.806,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,10-2003
2003-11-01,181685.0,-2019.0,-1.099,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,11-2003
2003-12-01,181513.0,-172.0,-0.095,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,12-2003
2004-01-01,178696.0,-2817.0,-1.552,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,01-2004
2004-02-01,181662.0,2966.0,1.66,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,02-2004
2004-03-01,190869.0,9207.0,5.068,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,03-2004
2004-04-01,184368.0,-6501.0,-3.406,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,04-2004
2004-05-01,183459.0,-909.0,-0.493,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,05-2004
2004-06-01,185640.0,2181.0,1.189,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,06-2004
2004-07-01,186835.0,1195.0,0.644,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,07-2004
2004-08-01,183728.0,-3107.0,-1.663,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,08-2004
2004-09-01,188444.0,4716.0,2.567,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,09-2004
2004-10-01,185187.0,-3257.0,-1.728,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,10-2004
2004-11-01,192545.0,7358.0,3.973,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,11-2004
2004-12-01,193578.0,1033.0,0.536,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,12-2004
2005-01-01,194875.0,1297.0,0.67,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,01-2005
2005-02-01,196475.0,1600.0,0.821,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,02-2005
2005-03-01,186608.0,-9867.0,-5.022,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,03-2005
2005-04-01,194847.0,8239.0,4.415,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,04-2005
2005-05-01,206623.0,11776.0,6.044,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,05-2005
2005-06-01,210020.0,3397.0,1.644,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,06-2005
2005-07-01,194475.0,-15545.0,-7.402,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,07-2005
2005-08-01,204839.0,10364.0,5.329,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,08-2005
2005-09-01,203997.0,-842.0,-0.411,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,09-2005
2005-10-01,209901.0,5904.0,2.894,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,10-2005
