date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2002-03-01,1691.0,-96.0,-5.372,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",03-2002
2002-04-01,1669.0,-22.0,-1.301,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",04-2002
2002-05-01,1716.0,47.0,2.816,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",05-2002
2002-06-01,1758.0,42.0,2.448,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",06-2002
2002-07-01,1738.0,-20.0,-1.138,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",07-2002
2002-08-01,1695.0,-43.0,-2.474,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",08-2002
2002-09-01,1803.0,108.0,6.372,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",09-2002
2002-10-01,1799.0,-4.0,-0.222,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",10-2002
2002-11-01,1771.0,-28.0,-1.556,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",11-2002
2002-12-01,1896.0,125.0,7.058,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",12-2002
2003-01-01,1808.0,-88.0,-4.641,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",01-2003
2003-02-01,1854.0,46.0,2.544,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",02-2003
2003-03-01,1757.0,-97.0,-5.232,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",03-2003
2003-04-01,1803.0,46.0,2.618,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",04-2003
2003-05-01,1835.0,32.0,1.775,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",05-2003
2003-06-01,1875.0,40.0,2.18,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",06-2003
2003-07-01,1885.0,10.0,0.533,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",07-2003
2003-08-01,1966.0,81.0,4.297,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",08-2003
2003-09-01,1961.0,-5.0,-0.254,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",09-2003
