date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2002-04-01,49964.0,2593.0,5.474,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2002
2002-05-01,50680.0,716.0,1.433,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2002
2002-06-01,48847.0,-1833.0,-3.617,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",06-2002
2002-07-01,49531.0,684.0,1.4,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",07-2002
2002-08-01,51112.0,1581.0,3.192,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",08-2002
2002-09-01,48089.0,-3023.0,-5.914,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",09-2002
2002-10-01,49106.0,1017.0,2.115,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",10-2002
2002-11-01,49620.0,514.0,1.047,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",11-2002
2002-12-01,48744.0,-876.0,-1.765,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",12-2002
2003-01-01,48896.0,152.0,0.312,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",01-2003
2003-02-01,49128.0,232.0,0.474,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2003
2003-03-01,51757.0,2629.0,5.351,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2003
2003-04-01,49199.0,-2558.0,-4.942,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2003
2003-05-01,50849.0,1650.0,3.354,NEWORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:02:02-05,64,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2003
