" Date","NFP_TCH Close","NFP_TCH Adj. Close"
07-31-2014,"196.00 ","196.00 "
06-30-2014,"306.00 ","306.00 "
05-31-2014,"252.00 ","252.00 "
04-30-2014,"311.00 ","311.00 "
03-31-2014,"261.00 ","261.00 "
02-28-2014,"182.00 ","182.00 "
01-31-2014,"174.00 ","174.00 "
12-31-2013,"93.00 ","93.00 "
11-30-2013,"221.00 ","221.00 "
10-31-2013,"210.00 ","210.00 "
09-30-2013,"201.00 ","201.00 "
08-31-2013,"260.00 ","260.00 "
07-31-2013,"111.00 ","111.00 "
06-30-2013,"158.00 ","158.00 "
05-31-2013,"240.00 ","240.00 "
04-30-2013,"179.00 ","179.00 "
03-31-2013,"156.00 ","156.00 "
02-28-2013,"265.00 ","265.00 "
01-31-2013,"207.00 ","207.00 "
12-31-2012,"243.00 ","243.00 "
11-30-2012,"130.00 ","130.00 "
10-31-2012,"153.00 ","153.00 "
09-30-2012,"194.00 ","194.00 "
08-31-2012,"173.00 ","173.00 "
07-31-2012,"156.00 ","156.00 "
06-30-2012,"68.00 ","68.00 "
05-31-2012,"117.00 ","117.00 "
04-30-2012,"72.00 ","72.00 "
03-31-2012,"264.00 ","264.00 "
02-29-2012,"233.00 ","233.00 "
01-31-2012,"348.00 ","348.00 "
12-31-2011,"201.00 ","201.00 "
11-30-2011,"145.00 ","145.00 "
10-31-2011,"209.00 ","209.00 "
09-30-2011,"233.00 ","233.00 "
08-31-2011,"112.00 ","112.00 "
07-31-2011,"72.00 ","72.00 "
06-30-2011,"234.00 ","234.00 "
05-31-2011,"81.00 ","81.00 "
04-30-2011,"323.00 ","323.00 "
03-31-2011,"254.00 ","254.00 "
02-28-2011,"182.00 ","182.00 "
01-31-2011,"44.00 ","44.00 "
12-31-2010,"73.00 ","73.00 "
11-30-2010,"129.00 ","129.00 "
10-31-2010,"267.00 ","267.00 "
09-30-2010,"-63.00 ","-63.00 "
08-31-2010,"-16.00 ","-16.00 "
07-31-2010,"-78.00 ","-78.00 "
06-30-2010,"-140.00 ","-140.00 "
05-31-2010,"522.00 ","522.00 "
04-30-2010,"221.00 ","221.00 "
03-31-2010,"193.00 ","193.00 "
02-28-2010,"-73.00 ","-73.00 "
01-31-2010,"18.00 ","18.00 "
12-31-2009,"-277.00 ","-277.00 "
11-30-2009,"12.00 ","12.00 "
10-31-2009,"-209.00 ","-209.00 "
09-30-2009,"-229.00 ","-229.00 "
08-31-2009,"-196.00 ","-196.00 "
07-31-2009,"-342.00 ","-342.00 "
06-30-2009,"-469.00 ","-469.00 "
05-31-2009,"-354.00 ","-354.00 "
04-30-2009,"-704.00 ","-704.00 "
03-31-2009,"-802.00 ","-802.00 "
02-28-2009,"-704.00 ","-704.00 "
01-31-2009,"-787.00 ","-787.00 "
12-31-2008,"-707.00 ","-707.00 "
11-30-2008,"-759.00 ","-759.00 "
10-31-2008,"-475.00 ","-475.00 "
09-30-2008,"-443.00 ","-443.00 "
08-31-2008,"-267.00 ","-267.00 "
07-31-2008,"-213.00 ","-213.00 "
06-30-2008,"-162.00 ","-162.00 "
05-31-2008,"-186.00 ","-186.00 "
04-30-2008,"-210.00 ","-210.00 "
03-31-2008,"-78.00 ","-78.00 "
