date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2002-02-01,1111859.0,-5529.0,-0.495,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2002
2002-03-01,1108193.0,-3666.0,-0.33,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2002
2002-04-01,1106806.0,-1387.0,-0.125,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2002
2002-05-01,1110725.0,3919.0,0.354,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2002
2002-06-01,1112674.0,1949.0,0.175,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",06-2002
2002-07-01,1119258.0,6584.0,0.592,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",07-2002
2002-08-01,1120777.0,1519.0,0.136,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",08-2002
2002-09-01,1128958.0,8181.0,0.73,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",09-2002
2002-10-01,1130630.0,1672.0,0.148,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",10-2002
2002-11-01,1132381.0,1751.0,0.155,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",11-2002
2002-12-01,1139523.0,7142.0,0.631,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",12-2002
2003-01-01,1139589.0,66.0,0.006,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",01-2003
2003-02-01,1148176.0,8587.0,0.754,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2003
2003-03-01,1149009.0,833.0,0.073,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2003
2003-04-01,1150317.0,1308.0,0.114,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2003
2003-05-01,1145246.0,-5071.0,-0.441,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2003
2003-06-01,1142115.0,-3131.0,-0.273,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",06-2003
2003-07-01,1139701.0,-2414.0,-0.211,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",07-2003
2003-08-01,1132993.0,-6708.0,-0.589,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",08-2003
2003-09-01,1136935.0,3942.0,0.348,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",09-2003
2003-10-01,1143104.0,6169.0,0.543,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",10-2003
2003-11-01,1145108.0,2004.0,0.175,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",11-2003
2003-12-01,1147795.0,2687.0,0.235,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",12-2003
2004-01-01,1148368.0,573.0,0.05,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",01-2004
2004-02-01,1158745.0,10377.0,0.904,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2004
2004-03-01,1168100.0,9355.0,0.807,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2004
2004-04-01,1176070.0,7970.0,0.682,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2004
2004-05-01,1183161.0,7091.0,0.603,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2004
2004-06-01,1195398.0,12237.0,1.034,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",06-2004
2004-07-01,1207045.0,11647.0,0.974,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",07-2004
2004-08-01,1217193.0,10148.0,0.841,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",08-2004
2004-09-01,1217197.0,4.0,0.0,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",09-2004
2004-10-01,1225082.0,7885.0,0.648,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",10-2004
2004-11-01,1238758.0,13676.0,1.116,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",11-2004
2004-12-01,1241744.0,2986.0,0.241,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",12-2004
2005-01-01,1252326.0,10582.0,0.852,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",01-2005
2005-02-01,1261207.0,8881.0,0.709,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2005
2005-03-01,1269321.0,8114.0,0.643,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2005
2005-04-01,1274973.0,5652.0,0.445,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2005
2005-05-01,1276171.0,1198.0,0.094,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2005
2005-06-01,1276129.0,-42.0,-0.003,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",06-2005
2005-07-01,1270367.0,-5762.0,-0.452,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",07-2005
